question_id,question,category,complexity,manual_type,language,OpenSource RAG_OVERALL_SCORE,OpenAI CLIP RAG_OVERALL_SCORE,OpenAI Vision RAG_OVERALL_SCORE,Hybrid RAG_OVERALL_SCORE,best_OVERALL_SCORE,worst_OVERALL_SCORE,diff_OVERALL_SCORE,OpenSource RAG_RELEVANCE,OpenAI CLIP RAG_RELEVANCE,OpenAI Vision RAG_RELEVANCE,Hybrid RAG_RELEVANCE,best_RELEVANCE,worst_RELEVANCE,diff_RELEVANCE,OpenSource RAG_CORRECTNESS,OpenAI CLIP RAG_CORRECTNESS,OpenAI Vision RAG_CORRECTNESS,Hybrid RAG_CORRECTNESS,best_CORRECTNESS,worst_CORRECTNESS,diff_CORRECTNESS,OpenSource RAG_COMPLETENESS,OpenAI CLIP RAG_COMPLETENESS,OpenAI Vision RAG_COMPLETENESS,Hybrid RAG_COMPLETENESS,best_COMPLETENESS,worst_COMPLETENESS,diff_COMPLETENESS,OpenSource RAG_CONCISENESS,OpenAI CLIP RAG_CONCISENESS,OpenAI Vision RAG_CONCISENESS,Hybrid RAG_CONCISENESS,best_CONCISENESS,worst_CONCISENESS,diff_CONCISENESS
wifi_manual_optimization_0_4,How can I utilize the Mobility Conductor for efficient network management?,optimization,simple,wifi_manual,english,8.2,8.7,8.7,8.2,OpenAI CLIP RAG,OpenSource RAG,0.5,8.0,9.0,9.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,7.0,8.0,8.0,7.0,OpenAI CLIP RAG,OpenSource RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,6.0,7.0,7.0,6.0,OpenAI CLIP RAG,OpenSource RAG,1.0
wifi_manual_comparative_1_3,In che modo i ruoli e le politiche definiti nella rete influenzano la gestione della WLAN?,comparative,complex,wifi_manual,italian,8.5,8.7,8.5,8.2,OpenAI CLIP RAG,Hybrid RAG,0.5,9.0,9.0,9.0,8.0,OpenSource RAG,Hybrid RAG,1.0,8.0,8.0,8.0,7.0,OpenSource RAG,Hybrid RAG,1.0,8.0,9.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,7.0,7.0,7.0,7.0,OpenSource RAG,OpenSource RAG,0.0
wifi_manual_procedural_0_0,How do I connect to a wireless network manually?,procedural,simple,wifi_manual,english,6.2,7.5,8.0,7.5,OpenAI Vision RAG,OpenSource RAG,1.7999999999999998,7.0,8.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,5.0,7.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,2.0,6.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,3.0,3.0,5.0,5.0,5.0,OpenAI CLIP RAG,OpenSource RAG,2.0
wifi_manual_conceptual_2_2,What is the importance of using WPA2-Enterprise security in WLAN configurations?,conceptual,medium,wifi_manual,english,9.0,9.3,9.3,9.3,OpenAI CLIP RAG,OpenSource RAG,0.3000000000000007,9.0,10.0,10.0,10.0,OpenAI CLIP RAG,OpenSource RAG,1.0,9.0,9.0,9.0,9.0,OpenSource RAG,OpenSource RAG,0.0,9.0,10.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,8.0,8.0,8.0,8.0,OpenSource RAG,OpenSource RAG,0.0
wifi_manual_factual_2_3,What information is displayed for connected clients in the dashboard?,factual,medium,wifi_manual,english,6.8,8.3,9.1,8.3,OpenAI Vision RAG,OpenSource RAG,2.3,8.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,6.0,7.0,8.0,7.0,OpenAI Vision RAG,OpenSource RAG,2.0,5.0,8.0,9.0,8.0,OpenAI Vision RAG,OpenSource RAG,4.0,7.0,7.0,9.0,7.0,OpenAI Vision RAG,OpenSource RAG,2.0
wifi_manual_conceptual_1_1,How can I verify the status of connected clients in the Mobility Conductor?,conceptual,simple,wifi_manual,english,7.0,9.3,9.3,9.3,OpenAI CLIP RAG,OpenSource RAG,2.3000000000000007,7.0,10.0,10.0,10.0,OpenAI CLIP RAG,OpenSource RAG,3.0,6.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,3.0,7.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,2.0,6.0,8.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,2.0
wifi_manual_troubleshooting_0_0,How can I manually connect to a hidden wireless network using the Mobility Conductor?,troubleshooting,simple,wifi_manual,english,6.5,8.0,6.5,6.5,OpenAI CLIP RAG,OpenSource RAG,1.5,7.0,8.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,1.0,6.0,7.0,5.0,5.0,OpenAI CLIP RAG,OpenAI Vision RAG,2.0,5.0,9.0,6.0,6.0,OpenAI CLIP RAG,OpenSource RAG,4.0,4.0,6.0,4.0,4.0,OpenAI CLIP RAG,OpenSource RAG,2.0
wifi_manual_navigation_0_3,What information is displayed on the main screen of the Mobility Conductor?,navigation,medium,wifi_manual,english,8.0,8.7,8.0,8.7,OpenAI CLIP RAG,OpenSource RAG,0.6999999999999993,8.0,9.0,8.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,7.0,8.0,7.0,8.0,OpenAI CLIP RAG,OpenSource RAG,1.0,8.0,9.0,8.0,9.0,OpenAI CLIP RAG,OpenSource RAG,1.0,6.0,7.0,6.0,7.0,OpenAI CLIP RAG,OpenSource RAG,1.0
wifi_manual_troubleshooting_0_1,What steps should I take to verify the connection status of my device in the Mobility Conductor?,troubleshooting,medium,wifi_manual,english,6.7,8.7,8.7,8.7,OpenAI CLIP RAG,OpenSource RAG,1.9999999999999991,7.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,2.0,5.0,8.0,8.0,8.0,OpenAI CLIP RAG,OpenSource RAG,3.0,6.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,3.0,5.0,7.0,7.0,7.0,OpenAI CLIP RAG,OpenSource RAG,2.0
wifi_manual_procedural_0_4,How do I verify the connection status of a client in the Mobility Conductor?,procedural,medium,wifi_manual,english,6.5,8.8,9.3,9.0,OpenAI Vision RAG,OpenSource RAG,2.8000000000000007,7.0,9.0,10.0,9.0,OpenAI Vision RAG,OpenSource RAG,3.0,5.0,9.0,9.0,9.0,OpenAI CLIP RAG,OpenSource RAG,4.0,6.0,9.0,9.0,10.0,Hybrid RAG,OpenSource RAG,4.0,5.0,7.0,8.0,7.0,OpenAI Vision RAG,OpenSource RAG,3.0
